Peaje,TraficoTotal,RecaudacionTotal,TarifaPromedio,TotalEvasores
PAPIROS,4062134,28753993900,37558.10810810811,0
PASO LA TORRE,1954069,25421537600,16989.0,19
UNISABANA,750253,22886976200,35837.1104815864,0
GUATAQU�,1170181,21004681000,31664.11149825784,0
CAMBAO,1038085,19724350900,31762.169312169313,0
PANDEQUESO,1511253,19317256000,12738.38383838384,0
PLATANAL,1978063,18639199100,10912.312312312311,1
CIRILO,1782709,17317858600,12811.75,112
SOP�,1253932,16947149900,18859.5166163142,26
BRISAS,973114,15717286200,35321.62162162162,0
DAZA,2142405,12880191900,12235.555555555555,0
SAN CARLOS,756213,12206549800,19629.965156794424,0
PONEDERA,1371376,12153129600,11752.5,1
SAN DIEGO,2557207,12112991100,12883.193277310924,158
RINC�N HONDO,1102335,11397887000,16281.603773584906,16
JUAN MINA,1101301,10850184300,44293.436293436294,0
BOQUER�N II,881131,8929382600,25302.84974093264,0
GALAPA,771723,8436140900,45688.88888888889,0
COCORA,402549,7210762900,25557.575757575756,0
EL ESCOBAL,8289565,4124168000,1440.251572327044,0
CANO,862780,3487307600,4123.529411764706,0
ARMERO,279557,3410708400,20149.21875,0
RIO SECO,335125,2766929900,15880.645161290322,76
EL GUAICO,46677,2429519300,22292.5,0
CABILDO,130066,1940923100,13907.52688172043,0
GAMARRA,730702,683294000,9746.766169154229,0
