summary,IdPeaje,Peaje,IdCategoriaTarifa,ValorTarifa,Trafico,TraficoEvasores,TraficoExentos787,Lat,Lon,TraficoTotal,PorcentajeEvasores,PorcentajeExentos,RecaudacionEstimada,Año,Mes,CategoriaTarifa,TipoVehiculo
count,98306,98306,98306,98306,98306,96262,96281,98306,98306,96262,95990,95990,98306,98306,98306,98306,98306
mean,63.206935487152364,,,17331.69694626981,19696.625302626493,0.28065072406557107,181.99516000041544,-74.665655311946,6.455282409287255,20171.660156655795,0.012978331076153751,0.7349018647775734,2.273217790928326E8,2017.7077899619555,6.030476267979574,,
stddev,42.88643228422391,,,16308.602101049772,54804.599179134784,22.252275211561372,703.3074397711099,1.1015405829204963,2.611600335728807,55656.37805310052,1.1183816450264157,4.821757574215793,5.0373325134858173E8,2.3298689334835005,3.6479737746602097,,
min,1,ABURR�,E1-III,0,0,0,0,-77.408562,1.087343,0,0.0,0.0,0,2014,1,Alta,Especiales
max,185,ZAMBITO,VIIIE,142700,1120843,4006,101300,-72.090698,11.444818,1126051,100.0,100.0,10199671300,2022,12,Moderada,Pesados
